               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.034531,            0.022186,                   0,             0.91291,             0.83862,             0.85345,             0.35714,            0.041701,            0.011152,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.033972,            0.022703,                   0,             0.90377,                0.84,              0.8498,             0.36772,            0.043301,            0.011548,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.033611,            0.021292,                   0,             0.91232,             0.83273,             0.84541,             0.38934,            0.041242,            0.011406,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.033108,            0.021819,                   0,             0.82548,                0.76,              0.7794,             0.36286,            0.041313,            0.011903,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.033231,            0.021296,                   0,             0.88123,                0.72,             0.77906,             0.35794,            0.042652,            0.012553,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.033355,            0.021222,                   0,             0.97625,                0.72,             0.77915,             0.38169,            0.039775,            0.011803,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.033166,              0.0216,                   0,             0.97777,                 0.8,             0.85069,             0.37912,            0.041868,             0.01179,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.032838,            0.020792,                   0,             0.98498,                 0.8,             0.84272,             0.37147,            0.041981,            0.012301,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.03258,            0.021471,                   0,             0.83762,                0.84,              0.8392,             0.37212,            0.041273,             0.01253,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.032045,             0.02068,                   0,                   1,             0.75836,             0.78254,             0.39828,            0.043046,            0.012683,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.031989,            0.020609,                   0,             0.98135,                0.72,             0.77661,             0.38142,            0.041019,            0.013437,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.03231,            0.020842,                   0,             0.98167,                0.72,             0.77821,             0.40377,            0.039907,             0.01254,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.031964,            0.021315,                   0,             0.99706,                0.72,             0.79502,             0.39388,            0.041666,            0.013449,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.031477,            0.020205,                   0,                   1,             0.67254,             0.77976,             0.43113,            0.036933,            0.012488,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.031171,            0.020755,                   0,             0.89059,                 0.8,             0.81578,             0.40108,            0.040526,            0.012395,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.031717,            0.020632,                   0,                   1,             0.71422,             0.79833,              0.3652,            0.040958,            0.013032,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.03156,            0.020084,                   0,             0.91264,             0.83592,             0.88612,             0.40677,            0.038853,            0.012059,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.031113,            0.019572,                   0,             0.99082,                 0.8,             0.83785,             0.38988,            0.039743,            0.013934,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.031199,            0.020561,                   0,                   1,             0.83612,             0.84354,              0.3944,            0.036943,            0.013213,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.031089,             0.02032,                   0,             0.99394,                0.84,             0.84297,             0.35965,            0.040344,            0.013376,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.030967,            0.020392,                   0,             0.91264,                0.84,             0.83519,             0.39087,            0.042284,            0.012903,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.031069,            0.019777,                   0,             0.98268,                 0.8,             0.82952,             0.39141,            0.040035,            0.013312,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.030932,            0.020037,                   0,             0.99283,                 0.8,             0.83709,             0.41496,            0.040972,            0.012789,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.030576,            0.020062,                   0,              0.9975,                 0.8,             0.83908,             0.39073,            0.043645,            0.014235,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.030409,             0.01997,                   0,             0.99338,                 0.8,             0.83984,             0.35404,            0.045313,             0.01408,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.030375,            0.019023,                   0,             0.99115,                 0.8,             0.83246,             0.37799,            0.041636,            0.013824,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.030392,            0.019688,                   0,             0.99192,                 0.8,             0.84144,              0.4167,            0.038047,            0.013614,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.029773,            0.019165,                   0,             0.98834,                 0.8,             0.83886,              0.4265,            0.039181,             0.01313,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.029812,            0.019775,                   0,             0.96323,                 0.8,              0.8506,             0.39272,            0.038486,            0.013539,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.029645,               0.019,                   0,             0.99087,                 0.8,             0.83643,             0.38439,            0.041409,            0.013053,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.02961,             0.01944,                   0,              0.9852,                 0.8,             0.84335,             0.39184,            0.040047,             0.01397,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.02935,            0.019361,                   0,             0.99246,                 0.8,             0.84815,             0.41257,            0.040025,            0.012698,                   0,            0.001882,            0.001882,            0.001882
